h1,title,description,price_usd,area,property_type,country,object_id,url
"Готовая вилла в Джимбаране, Бали, Индонезия","Готовая вилла в Джимбаране, Бали, Индонезия","ASAI (ASAI Village) - это современный комплекс бутик-вилл в Джимбаране на Бали, предлагающий отдых в тропическом скандинавском стиле с европейским комфортом: частные бассейны, полностью оборудованные кухни, фитнес-центр с бассейном 25 м, спа-сервис и кафе с отличной едой, удобно расположенный недалеко от пляжа и аэропорта. Это место ценится за тишину, стильный дизайн и удобства для семейного отдыха и уединения, сочетая природу Бали с современными удобствами. Тип управления: профессиональное управление на базе УК девелопера, у каждого юнита свой аккаунт на агрегаторах. Джимбаран-популярный район вблизи аэропорта (15 минут) и пляжа Джимбаран (2 минуты).",$ 270 000,100 м²,Вилла,Индонезия,9832,https://intermark.ru/objects/indoneziya-villa-729628
"Дизайнерская вилла в Убуде, Бали, Индонезия","Дизайнерская вилла в Убуде, Бали, Индонезия","В продаже дизайнерская вилла под ключ в сердце Убуда, живописного района Бали. Green HAVEN — эксклюзивный комплекс из 18 дизайнерских вилл, расположенный в самом центре Убуда, в близости от лучших кафе, знаковых достопримечательностей и с оживленным туристическим трафику. Вилла сдается с полной отделкой и меблировкой. Планировка включает , а также общую зону с уютной гостиной и полностью оборудованной кухней, частную террасу с К услугам владельцев также предусмотрена . Вилла : два кондиционера, микроволновая печь, холодильник, электрическая плита и водонагреватель – всё для комфортного проживания или сдачи в аренду. Вилла расположена в районе Убуд, культурном и духовном центре Бали. Район предлагает идеальное сочетание умиротворенной атмосферы и развитой инфраструктуры: от мировых центров йоги и изысканных ресторанов до уникальных галерей и знаковых достопримечательностей, таких как Священный Лес Обезьян.",$ 345 000,120 м²,Вилла,Индонезия,9835,https://intermark.ru/objects/indoneziya-villa-729631
"Апартаменты с 1 спальней в районе Умалас на Бали, Индонезия","Апартаменты с 1 спальней в районе Умалас на Бали, Индонезия",Апартаменты на перепродаже от собственника в клубном инфраструктурном комплексе в районе Умалас на границе с Чангу – одном из самых модных районов острова.,$ 170 000,60 м²,Квартира,Индонезия,9833,https://intermark.ru/objects/indoneziya-apartamenty-729629
Готовая вилла  рядом с пляжем Ньянг Няьнг,Готовая вилла  рядом с пляжем Ньянг Няьнг,"Уникальное предложение от собственника.Просторная вилла с комфортной планировкой, выполненная из качественных материалов с дизайнерским интерьером. Вид на джунгли.",$ 300 000,170 м²,Вилла,Индонезия,9668,https://intermark.ru/objects/indoneziya-villa-729208
Готовая вилла в районе Умалас,Готовая вилла в районе Умалас,"Вилла на перепродаже, подобных предложений от застройщика уже не осталось. Жилой комплекс расположен среди лучших туристических мест развлечений и имеет красивые виды на окружающую природу.",$ 498 000,250 м²,Вилла,Индонезия,9677,https://intermark.ru/objects/indoneziya-villa-729304
Дизайнерская вилла в Убуде,Дизайнерская вилла в Убуде,Вилла на перепродаже от собственника в бутик-проекте с дизайнерскими видовыми виллами в Убуде. ​ Заполняемость аналогичных готовых вилл этого застройщика в Убуде достигает 90%.,$ 250 000,120 м²,Вилла,Индонезия,9739,https://intermark.ru/objects/indoneziya-villa-729495
Апартаменты с видом на океан рядом с пляжем Бату Белиг,Апартаменты с видом на океан рядом с пляжем Бату Белиг,Апартаменты с видом на океан от собственников в проекте со сдачей в 2024 году. Юнитов от девелопера в продаже уже не осталось.,$ 254 858,82 м²,Квартира,Индонезия,9747,https://intermark.ru/objects/indoneziya-apartamenty-729537
Готовый таунхаус в Джимбаране,Готовый таунхаус в Джимбаране,Таунхаус в недавно сданном проекте от собственников. Готовые объекты – редкость для Бали – доход сразу. Заполняемость достигает 90% благодаря недостатку аналогов такой недвижимости в этом районе,$ 298 000,168 м²,Таунхаус,Индонезия,9774,https://intermark.ru/objects/indoneziya-taunhaus-729570
Готовая вилла рядом с пляжем Бингин,Готовая вилла рядом с пляжем Бингин,Одна из лучших вилл в готовом комплексе в шаговой доступности до пляжа Бингин с лучшими отзывами и рейтингами на Booking и Airbnb. На крыше виллы оборудована гриль-зона и пространство для отдыха с видом на океан.,$ 805 000,310 м²,Вилла,Индонезия,9793,https://intermark.ru/objects/indoneziya-villa-729589
Апартаменты рядом​​ с пляжем Бату Болонг​,Апартаменты рядом​​ с пляжем Бату Болонг​,Современный закрытый комплекс премиум апартаментов в самом популярном туристическом районе Бали.​,$ 162 000,40 м²,Квартира,Индонезия,9794,https://intermark.ru/objects/indoneziya-apartamenty-729590
